top - 18:42:48 up  3:51,  1 user,  load average: 0.20, 0.22, 0.14
Threads:  66 total,   0 running,  66 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.3 sy,  0.0 ni, 97.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   7941.2 total,   6838.9 free,    678.0 used,    681.3 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.   7263.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2785 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:08.97 python
   2786 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:08.52 python
   2787 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:09.32 python
   2788 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:09.18 python

top - 18:42:54 up  3:51,  1 user,  load average: 0.26, 0.23, 0.15
Threads:  66 total,   0 running,  66 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.9 us,  0.1 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   7941.2 total,   6838.9 free,    677.8 used,    681.5 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.   7263.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1762 root      rt -10 1057460 303908  38528 S   1.7   3.7   0:27.69 python
   2788 root      rt -10 1057460 303908  38528 S   1.7   3.7   0:09.23 python
   1014 root      rt -10 1057460 303908  38528 S   1.0   3.7   1:30.47 python
   1016 root      rt -10 1057460 303908  38528 S   1.0   3.7   1:32.51 python
   1754 root      rt -10 1057460 303908  38528 S   1.0   3.7   0:27.46 python
   2783 root      rt -10 1057460 303908  38528 S   1.0   3.7   0:09.57 python
   1017 root      rt -10 1057460 303908  38528 S   0.7   3.7   1:33.92 python
   1760 root      rt -10 1057460 303908  38528 S   0.7   3.7   0:28.11 python
   1761 root      rt -10 1057460 303908  38528 S   0.7   3.7   0:26.84 python
   2787 root      rt -10 1057460 303908  38528 S   0.7   3.7   0:09.34 python
    967 root      rt -10 1057460 303908  38528 S   0.3   3.7   1:21.96 python
   1759 root      rt -10 1057460 303908  38528 S   0.3   3.7   0:27.74 python
   1763 root      rt -10 1057460 303908  38528 S   0.3   3.7   0:27.81 python
    990 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.06 python
    991 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.06 python
    992 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.06 python
